City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,labrador city,52.9463,-66.9114,-2.05,50,75,3.6,CA,1698686678
83,stanley,54.868,-1.6985,7.09,92,20,3.09,GB,1698686595
84,lihue,21.9789,-159.3672,21.77,84,20,3.6,US,1698686584
85,kavieng,-2.5744,150.7967,25.45,82,100,1.44,PG,1698686600
86,isangel,-19.55,169.2667,20.23,72,11,3.73,VU,1698686196
87,hilmar-irwin,37.4045,-120.8504,17.9,31,22,2.24,US,1698686679
88,arteche,12.2645,125.4048,25.53,90,100,4.53,PH,1698686679
89,piacabucu,-10.4056,-36.4344,27.59,59,100,5.03,BR,1698686679
90,dubbo,-32.25,148.6167,18.07,45,99,2.06,AU,1698686680
91,papatowai,-46.5619,169.4708,7.08,95,7,1.23,NZ,1698686566
92,sandnessjoen,66.0217,12.6316,-0.88,80,40,4.63,NO,1698686680
93,nagqu,31.5,92.0,-6.73,89,76,1.15,CN,1698686681
94,miracema do tocantins,-9.5618,-48.3967,41.85,13,6,3.39,BR,1698686681
95,dyurtyuli,55.4911,54.8688,-0.97,95,100,4.97,RU,1698686681
96,lebu,-37.6167,-73.65,11.26,54,66,4.36,CL,1698686581
97,vorgashor,67.5833,63.95,-14.52,91,100,2.97,RU,1698686682
98,johnstown,40.3267,-78.922,12.99,92,100,8.23,US,1698686407
99,guerrero negro,27.9769,-114.0611,22.65,36,0,0.4,MX,1698686579
100,seropedica,-22.7439,-43.7075,31.77,55,71,5.02,BR,1698686482
101,mtwara,-10.2667,40.1833,25.97,80,98,4.01,TZ,1698686683
102,chonchi,-42.6128,-73.8092,8.95,65,60,1.9,CL,1698686585
103,magadan,59.5667,150.8,-4.53,78,11,2.74,RU,1698686683
104,trinidad,-14.8333,-64.9,34.99,43,75,8.75,BO,1698686684
105,st. john's,47.5649,-52.7093,7.66,45,75,9.26,CA,1698686265
106,olinda,-8.0089,-34.8553,29.85,51,20,5.66,BR,1698686684
107,mombasa,-4.0547,39.6636,26.23,89,40,0.0,KE,1698686684
108,labasa,-16.4167,179.3833,24.2,94,35,2.11,FJ,1698686685
109,college,64.8569,-147.8028,-2.03,89,100,1.54,US,1698686631
110,krutinka,56.0055,71.5113,-3.31,93,100,7.63,RU,1698686685
111,iquique,-20.2208,-70.1431,20.02,69,25,3.66,CL,1698686686
112,tromso,69.6496,18.957,-1.99,86,75,4.63,NO,1698686579
113,hawaiian paradise park,19.5933,-154.9731,23.83,95,100,2.57,US,1698686574
114,northam,51.0333,-4.2167,12.92,88,40,4.23,GB,1698686687
115,san patricio,28.017,-97.5169,10.47,69,100,9.33,US,1698686632
116,quiberon,47.4841,-3.1196,14.5,83,57,8.05,FR,1698686687
117,dzuunharaa,48.8523,106.4579,-7.42,95,37,1.76,MN,1698686687
118,tazovsky,67.4667,78.7,-16.94,95,32,1.66,RU,1698686571
119,paka,4.6374,103.4368,25.96,94,99,0.0,MY,1698686688
120,waslala,13.2333,-85.3833,23.71,95,100,0.32,NI,1698686688
121,newman,37.3138,-121.0208,17.35,33,24,0.45,US,1698686301
122,sabha,27.0377,14.4283,26.53,22,0,3.87,LY,1698686689
123,calama,-22.4667,-68.9333,22.27,13,0,7.72,CL,1698686165
124,kokopo,-4.352,152.2633,24.39,88,99,3.73,PG,1698686689
125,touros,-5.1989,-35.4608,28.74,56,14,6.96,BR,1698686689
126,sao tome,0.3365,6.7273,27.51,78,100,2.6,ST,1698686690
127,sur,22.5667,59.5289,26.87,64,50,1.19,OM,1698686690
128,ivdel',60.6911,60.4206,-4.43,65,100,4.02,RU,1698686690
129,north bend,43.4065,-124.2243,13.93,62,0,2.57,US,1698686690
130,ribeira grande,38.5167,-28.7,19.87,77,40,7.15,PT,1698686570
131,port mathurin,-19.6833,63.4167,24.93,80,4,7.21,MU,1698686569
132,ilulissat,69.2167,-51.1,3.01,52,0,8.23,GL,1698686574
133,bonthe,7.5264,-12.505,28.27,73,100,3.62,SL,1698686188
134,volokolamsk,56.0336,35.9694,6.78,97,100,5.26,RU,1698686691
135,portland,45.5234,-122.6762,10.27,56,0,4.92,US,1698686215
136,ulsteinvik,62.3432,5.8487,5.42,59,0,4.47,NO,1698686692
137,albany,42.6001,-73.9662,11.0,93,100,0.89,US,1698686515
138,arawa,-6.2132,155.5367,24.87,88,89,1.01,PG,1698686692
139,bandar abbas,27.1865,56.2808,28.99,70,96,2.06,IR,1698686692
140,veraval,20.9,70.3667,27.38,57,1,0.47,IN,1698686265
141,las khorey,11.1595,48.1967,27.53,78,82,4.74,SO,1698686693
142,pulsano,40.3821,17.3564,21.94,82,40,3.13,IT,1698686693
143,edson,53.5835,-116.4356,-0.92,64,0,1.54,CA,1698686693
144,kutum,14.2,24.6667,26.79,16,45,3.92,SD,1698686693
145,callao,-12.0667,-77.15,21.16,73,20,6.17,PE,1698686694
146,fort bragg,35.139,-79.006,28.85,50,0,7.72,US,1698686570
147,nikolayevsk-on-amure,53.1406,140.73,1.88,81,89,3.48,RU,1698686139
148,kavaratti,10.5669,72.642,28.17,69,93,0.63,IN,1698686629
149,trujillo,-8.116,-79.03,19.98,83,75,5.66,PE,1698686694
150,nar'yan-mar,67.6713,53.087,-6.61,94,100,6.71,RU,1698686587
151,punta arenas,-53.15,-70.9167,9.01,42,0,6.69,CL,1698686579
152,kodinsk,58.6881,99.1844,-6.42,83,35,1.32,RU,1698686276
153,haiku-pauwela,20.9219,-156.3051,25.02,76,40,2.06,US,1698686442
154,chui,-33.6971,-53.4616,16.37,86,100,6.71,UY,1698686695
155,brisas de zicatela,15.8369,-97.0419,30.29,54,20,2.57,MX,1698686695
156,durban,-29.8579,31.0292,14.51,78,100,3.55,ZA,1698686696
157,tralee,52.2704,-9.7026,11.14,87,0,2.57,IE,1698686696
158,shahrak,34.1074,64.3052,8.28,34,11,1.81,AF,1698686696
159,pangkalpinang,-2.1333,106.1333,26.89,77,61,2.58,ID,1698686696
160,laguna,38.421,-121.4238,17.79,52,0,0.0,US,1698686697
161,kerema,-7.9631,145.7785,24.84,91,100,0.79,PG,1698686697
162,suwayr,30.1171,40.3893,20.52,49,64,3.43,SA,1698686697
163,dusti,37.3481,68.664,21.88,28,9,0.7,TJ,1698686697
164,vila franca do campo,37.7167,-25.4333,21.05,99,60,3.41,PT,1698686697
165,acarau,-2.8856,-40.12,30.88,56,12,8.95,BR,1698686698
166,lorengau,-2.0226,147.2712,25.67,84,100,1.01,PG,1698686698
167,okulovka,58.4008,33.2908,0.31,98,100,1.03,RU,1698686698
168,ipatovo,45.7181,42.9036,13.52,57,76,3.74,RU,1698686698
169,igrim,63.1906,64.4162,-8.6,86,99,2.46,RU,1698686698
170,tura,25.5198,90.2201,20.54,89,82,1.68,IN,1698686636
171,salekhard,66.53,66.6019,-14.13,98,99,1.36,RU,1698686699
172,salatiga,-7.3319,110.4928,25.33,89,66,1.4,ID,1698686699
